name;region;city;address
"Самарский государственный институт культуры

/ Прежние наименования /


до 2014 г. - Самарская государственная академия культуры и искусств

";Самарская область;Самара;"443010, г. Самара, ул. Фрунзе, д. 167"
"Самарский государственный медицинский университет
";Самарская область;Самара;"443099, Самарская область, г. Самара, ул. Чапаевская, д. 89"
"Самарский государственный социально-педагогический университет

/ Прежние наименования /


до 2016 - Поволжская государственная социально-гуманитарная академия (ПГСГА)
до 26.05.2009 - ""Самарский государственный педагогический университет""

";Самарская область;Самара;"443099 г. Самара, ул. М. Горького, д. 65/67"
"Самарский государственный технический университет

/ Прежние наименования /


30.12.2015 г. - присоединен Самарский государственный архитектурно-строительный университет

";Самарская область;Самара;"443100, г. Самара, ул. Молодогвардейская, д. 244"
"Самарский государственный университет
";Самарская область;Самара;"443011, Самарская область, г. Самара, ул. Академика Павлова, д. 1"
"Самарский государственный университет путей сообщения

/ Прежние наименования /


до 2007 г. - Самарская государственная академия путей сообщения;<br>до 2002 г. - Самарский институт инженеров железнодорожного транспорта им. М.Т.Елизарова

";Самарская область;Самара;"443066, г. Самара, 1-й Безымянный переулок, д. 18"
"Самарский государственный экономический университет

/ Прежние наименования /


до 2007 г. - Самарская государственная экономическая академия

";Самарская область;Самара;"443090, Самарская область, г. Самара, ул. Советской Армии, д. 141"
"Самарский институт бизнеса и управления
";Самарская область;Самара;"443099, Самарская область, г. Самара, ул. Куйбышева, д. 81"
"Самарский институт - высшая школа приватизации и предпринимательства
";Самарская область;Самара;"443090, г. Самара, ул. Антонова-Овсеенко, д. 53"
"Самарский институт медико-социальной реабилитологии
";Самарская область;Самара;"443099, Самарская область, г. Самара, ул. Ленинградская, д. 77"
"Самарский институт управления
";Самарская область;Самара;"443069, г. Самара, ул. Волгина, 117 а"
"Самарский институт (филиал) Российского государственного торгово-экономического университета
";Самарская область;Самара;"443036, г. Самара, ул. Неверова/Линейная, д. 87/35"
"Самарский институт (филиал) Российского экономического университета имени Г.В. Плеханова
";Самарская область;Самара;"443036, г. Самара, ул. Неверова/Линейная, д. 87/35."
"Самарский национальный исследовательский университет имени академика С.П. Королева

/ Прежние наименования /


до 2016 - Самарский государственный аэрокосмический университет имени академика С.П. Королева (национальный исследовательский университет)

";Самарская область;Самара;"443086, Самарская область, город Самара, Московское шоссе, 34"
"Самарский филиал Волжского государственного университета водного транспорта
";Самарская область;Самара;"443020, Самарская область, г. Самара, ул. Ленинградская, д. 75"
"Самарский филиал Московского городского педагогического университета
";Самарская область;Самара;"443041, г. Самара, Ленинский район, ул. Братьев Коростелевых, д. 76"
"Самарский филиал Новгородского государственного университета имени Ярослава Мудрого
";Самарская область;Самара;"443069, Самарская область, г. Самара, ул. Волгина, д. 117а"
"Самарский филиал Санкт-Петербургского Гуманитарного университета профсоюзов
";Самарская область;Самара;"443099, г. Самара, ул. Куйбышева, д. 90"
"Самарский филиал Современной гуманитарной академии
";Самарская область;Самара;"443058, Самарская область, г. Самара, ул. Физкультурная, д. 90, литера А"
"Самарский филиал Университета Российской академии образования
";Самарская область;Самара;"443086, г. Самара, ул. Ерошевского, д. 3 А"
"Самарский юридический институт Федеральной службы исполнения наказаний
";Самарская область;Самара;"443022, г. Самара, ул. Рыльская, 24 «В»"
"Сызранский филиал Самарского государственного экономического университета

/ Прежние наименования /


до 14.12.2005 - Сызранский филиал Самарской государственной экономической академии

";Самарская область;Сызрань;"446022, Самарская область, г. Сызрань, ул. Людиновская, д. 23"
"Тольяттинская академия управления
";Самарская область;Тольятти;"445057, Самарская область, Ставропольский район, Ставропольский лесхоз, Ягодинское лесничество, квартал№5, оздоровительный комплекс»Алые паруса», корпус №5"
"Тольяттинский государственный университет

/ Прежние наименования /


до 19.07.2001 - Тольяттинский политехнический институт + Тольяттинский филиал Самарского государственного педагогического университета

";Самарская область;Тольятти;"445667, Самарская область, г. Тольятти, ул. Белорусская, д. 14"
"Тольяттинский институт Восточной экономико-юридической гуманитарной академии (филиал)
";Самарская область;Тольятти;"445042, Самарская область, г. Тольятти, ул. Свердлова, д. 22"
"Тольяттинский институт искусств
";Самарская область;Тольятти;"445017, Самарская область, г.Тольятти, ул.Победы, д. 46"
"Тольяттинский филиал Института коммерции и права
";Самарская область;Тольятти;"445056, Самарская область, г. Тольятти, ул. 40 лет Победы, д. 74"
